"Main","weekday","sumtotal"
" ADELAIDE ST E ",2,37282
" ADELAIDE ST E ",3,12095
" ADELAIDE ST E ",4,22160
" ADELAIDE ST W ",2,34437
" ADELAIDE ST W ",3,23255
" ADELAIDE ST W ",4,34170
" ALBION RD ",1,14758
" ALBION RD ",2,138158
" ALBION RD ",3,143656
" ALBION RD ",6,42329
" ALLIANCE AVE ",4,9278
" ALNESS ST ",1,10181
" ALNESS ST ",2,22426
" ANNETTE ST ",1,8470
" ANNETTE ST ",2,8273
" ANNETTE ST ",4,36316
" ASHTONBEE RD ",1,8370
" ATTWELL DR ",1,6998
" AVENUE RD ",1,116638
" AVENUE RD ",2,161163
" AVENUE RD ",3,147424
" AVENUE RD ",4,226410
" AVENUE RD ",6,19969
" BAMBURGH CRCL ",1,4460
" BATHURST ST ",0,17461
" BATHURST ST ",1,217823
" BATHURST ST ",2,244414
" BATHURST ST ",3,259156
" BATHURST ST ",4,108158
" BATHURST ST ",6,225735
" BAY ST ",1,11424
" BAY ST ",2,130149
" BAY ST ",3,119873
" BAY ST ",4,372938
" BAYVIEW AVE ",1,190108
" BAYVIEW AVE ",2,162162
" BAYVIEW AVE ",3,134613
" BAYVIEW AVE ",4,149579
" BAYVIEW AVE ",6,44873
" BEECROFT RD ",3,8866
" BEECROFT RD ",4,26060
" BELFIELD RD ",3,7702
" BELLAMY RD N ",1,7253
" BELLAMY RD N ",2,12278
" BELLAMY RD N ",3,11842
" BELLAMY RD N ",4,5442
" BERMONDSEY RD ",1,11615
" BERMONDSEY RD ",2,8308
" BIRCHMOUNT RD ",1,8462
" BIRCHMOUNT RD ",2,33490
" BIRCHMOUNT RD ",3,216869
" BIRCHMOUNT RD ",4,13199
" BIRCHMOUNT RD ",6,32655
" BLACK CREEK DR ",1,28148
" BLACK CREEK DR ",3,79080
" BLACK CREEK DR ",4,20790
" BLOOR ST ",4,37733
" BLOOR ST E ",4,71306
" BLOOR ST E ",6,73291
" BLOOR ST W ",1,91840
" BLOOR ST W ",2,178145
" BLOOR ST W ",3,270943
" BLOOR ST W ",4,305660
" BLOOR ST W ",6,27099
" BONIS AVE ",4,6411
" BREMNER BLVD ",1,7045
" BREMNER BLVD ",3,8482
" BRENTCLIFFE RD ",3,11551
" BRENYON WAY ",4,2831
" BRIDLETOWNE CRCL ",3,5659
" BRIMLEY RD ",1,65324
" BRIMLEY RD ",2,23064
" BRIMLEY RD ",3,31333
" BRIMLEY RD ",4,185284
" BRIMLEY RD ",6,24059
" BRITISH COLUMBIA RD ",2,5861
" BROADVIEW AVE ",1,29716
" BROADVIEW AVE ",2,38168
" BROADVIEW AVE ",3,24501
" BROADVIEW AVE ",4,8455
" BROWNS LINE ",2,17657
" BROWNS LINE ",4,19116
" BROWNS LINE ",6,15926
" BURNHAMTHORPE RD ",1,65723
" BURNHAMTHORPE RD ",2,50369
" BURNHAMTHORPE RD ",3,62775
" BURNHAMTHORPE RD ",6,20765
